epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,748.19,1.72917,0.46667,1,1.45583,0.00014,0.00014,0.00014
2,1445.17,0.99835,0.69333,1,0.82619,0.00028043,0.00028043,0.00028043
3,2183.77,0.5713,0.74667,1,0.59007,0.00041096,0.00041096,0.00041096
4,2929.34,0.43154,0.82667,1,0.53108,0.00053159,0.00053159,0.00053159
5,3627.95,0.28635,0.74667,1,0.83654,0.00064232,0.00064232,0.00064232
6,4326.64,0.33684,0.85333,1,0.72685,0.00074315,0.00074315,0.00074315
7,5059.07,0.37689,0.74667,1,0.83384,0.000802,0.000802,0.000802
8,5767.16,0.26377,0.77333,1,0.77246,0.000769,0.000769,0.000769
9,6475.24,0.24297,0.77333,0.98667,0.85662,0.000736,0.000736,0.000736
10,7192.06,0.26012,0.8,1,0.75052,0.000703,0.000703,0.000703
11,7868.91,0.12063,0.81333,1,1.07931,0.00067,0.00067,0.00067
12,8566.92,0.12652,0.82667,1,0.63489,0.000637,0.000637,0.000637
13,9265.61,0.25773,0.81333,1,0.82583,0.000604,0.000604,0.000604
14,9963.48,0.17769,0.78667,0.98667,0.78244,0.000571,0.000571,0.000571
15,10654.4,0.22961,0.76,1,0.81414,0.000538,0.000538,0.000538
16,11333.4,0.1216,0.81333,1,0.75714,0.000505,0.000505,0.000505
17,12016,0.20002,0.77333,1,0.81794,0.000472,0.000472,0.000472
18,12719.3,0.0855,0.8,1,0.75471,0.000439,0.000439,0.000439
19,13422.7,0.14289,0.8,0.98667,0.83279,0.000406,0.000406,0.000406
20,14101.8,0.14818,0.82667,1,0.80388,0.000373,0.000373,0.000373
21,14800.9,0.12905,0.78667,1,0.5951,0.00034,0.00034,0.00034
22,15495.1,0.11387,0.82667,1,0.55241,0.000307,0.000307,0.000307
23,16183.9,0.09252,0.81333,1,0.63726,0.000274,0.000274,0.000274
24,16880.5,0.03234,0.77333,1,0.82549,0.000241,0.000241,0.000241
25,17580.9,0.09988,0.78667,1,0.56107,0.000208,0.000208,0.000208
26,18265.6,0.10562,0.8,1,0.51849,0.000175,0.000175,0.000175
27,18940.3,0.03995,0.84,0.98667,0.70771,0.000142,0.000142,0.000142
28,19616.3,0.05549,0.84,0.98667,0.72932,0.000109,0.000109,0.000109
29,20289.6,0.0978,0.84,1,0.62989,7.6e-05,7.6e-05,7.6e-05
30,20961.3,0.06919,0.84,0.98667,0.67557,4.3e-05,4.3e-05,4.3e-05
